"Step","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","GRU-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=RMSprop,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=256,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=Adagrad,lr=0.001,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0.2 - train/loss__MAX","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MIN","LSTM-latent_dim=128,NLLLoss,opt=SGD,lr=0.1,dropout=0 - train/loss__MAX"
"0","0.9051704793781429","0.9051704793781429","0.9051704793781429","0.952391764882839","0.952391764882839","0.952391764882839","1.4442970890761453","1.4442970890761453","1.4442970890761453","1.71186506116029","1.71186506116029","1.71186506116029","1.6594709532085434","1.6594709532085434","1.6594709532085434","1.667988947975687","1.667988947975687","1.667988947975687"
"2","0.6825920405325951","0.6825920405325951","0.6825920405325951","0.7047054709552171","0.7047054709552171","0.7047054709552171","1.2513394231920119","1.2513394231920119","1.2513394231920119","1.4575679318987447","1.4575679318987447","1.4575679318987447","1.3491381760283465","1.3491381760283465","1.3491381760283465","1.357592536257459","1.357592536257459","1.357592536257459"
"4","0.6216109614996683","0.6216109614996683","0.6216109614996683","0.6321918084507897","0.6321918084507897","0.6321918084507897","1.1884576199632702","1.1884576199632702","1.1884576199632702","1.3876012526291273","1.3876012526291273","1.3876012526291273","1.2503211247972597","1.2503211247972597","1.2503211247972597","1.2596304325056282","1.2596304325056282","1.2596304325056282"
"6","0.5861663865449624","0.5861663865449624","0.5861663865449624","0.5891972876988448","0.5891972876988448","0.5891972876988448","1.14585160415668","1.14585160415668","1.14585160415668","1.3466504678065643","1.3466504678065643","1.3466504678065643","1.182804501288897","1.182804501288897","1.182804501288897","1.1873155895507697","1.1873155895507697","1.1873155895507697"
"8","0.5619216186853199","0.5619216186853199","0.5619216186853199","0.559046198247057","0.559046198247057","0.559046198247057","1.1122766428695612","1.1122766428695612","1.1122766428695612","1.3163787456817957","1.3163787456817957","1.3163787456817957","1.1282035780675483","1.1282035780675483","1.1282035780675483","1.1342319059810597","1.1342319059810597","1.1342319059810597"
"10","0.543803506534853","0.543803506534853","0.543803506534853","0.5365451416928014","0.5365451416928014","0.5365451416928014","1.0843600720425188","1.0843600720425188","1.0843600720425188","1.2919433182710176","1.2919433182710176","1.2919433182710176","1.088041182139735","1.088041182139735","1.088041182139735","1.0944517587686513","1.0944517587686513","1.0944517587686513"
"12","0.5295350448071182","0.5295350448071182","0.5295350448071182","0.5187086268485367","0.5187086268485367","0.5187086268485367","1.062909814057412","1.062909814057412","1.062909814057412","1.270966328067697","1.270966328067697","1.270966328067697","1.0567763798680656","1.0567763798680656","1.0567763798680656","1.0632598331093273","1.0632598331093273","1.0632598331093273"
"14","0.5178586666460161","0.5178586666460161","0.5178586666460161","0.5037270678263722","0.5037270678263722","0.5037270678263722","1.04555422164403","1.04555422164403","1.04555422164403","1.2531594671470263","1.2531594671470263","1.2531594671470263","1.030446902369008","1.030446902369008","1.030446902369008","1.0375425775587817","1.0375425775587817","1.0375425775587817"
"16","0.5075248386630248","0.5075248386630248","0.5075248386630248","0.4907674363358712","0.4907674363358712","0.4907674363358712","1.0307949665949974","1.0307949665949974","1.0307949665949974","1.2377058208246767","1.2377058208246767","1.2377058208246767","1.0059716514436714","1.0059716514436714","1.0059716514436714","1.0149713445019413","1.0149713445019413","1.0149713445019413"
"18","0.49849441605599926","0.49849441605599926","0.49849441605599926","0.47964395492365863","0.47964395492365863","0.47964395492365863","1.0179202823024807","1.0179202823024807","1.0179202823024807","1.224102310933076","1.224102310933076","1.224102310933076","0.9853951857461558","0.9853951857461558","0.9853951857461558","0.9935603754602985","0.9935603754602985","0.9935603754602985"
"20","0.49107324906112826","0.49107324906112826","0.49107324906112826","0.46944428922294024","0.46944428922294024","0.46944428922294024","1.0065895011285684","1.0065895011285684","1.0065895011285684","1.211948720278678","1.211948720278678","1.211948720278678","0.968137093630188","0.968137093630188","0.968137093630188","0.9758592298923633","0.9758592298923633","0.9758592298923633"
"22","0.48394294408879757","0.48394294408879757","0.48394294408879757","0.46034462508056073","0.46034462508056073","0.46034462508056073","0.9962889123788644","0.9962889123788644","0.9962889123788644","1.201174100369086","1.201174100369086","1.201174100369086","0.9525732538013747","0.9525732538013747","0.9525732538013747","0.960477863297318","0.960477863297318","0.960477863297318"
"24","0.478028594512186","0.478028594512186","0.478028594512186","0.4517399284230682","0.4517399284230682","0.4517399284230682","0.9869597053631044","0.9869597053631044","0.9869597053631044","1.191316528495772","1.191316528495772","1.191316528495772","0.9390045970162272","0.9390045970162272","0.9390045970162272","0.9453064761894606","0.9453064761894606","0.9453064761894606"
"26","0.4727159119271613","0.4727159119271613","0.4727159119271613","0.44460920766963585","0.44460920766963585","0.44460920766963585","0.9785111013687018","0.9785111013687018","0.9785111013687018","1.1822853461230471","1.1822853461230471","1.1822853461230471","0.926959139702124","0.926959139702124","0.926959139702124","0.930377784487489","0.930377784487489","0.930377784487489"
"28","0.4675587456334721","0.4675587456334721","0.4675587456334721","0.43758405180591525","0.43758405180591525","0.43758405180591525","0.9704975531601803","0.9704975531601803","0.9704975531601803","1.174091156684991","1.174091156684991","1.174091156684991","0.9160926143328348","0.9160926143328348","0.9160926143328348","0.9176776623313045","0.9176776623313045","0.9176776623313045"
